,어그로 성기사,컨트롤 전사,용 드루이드,Plague Death Knight,Unnamed: 5,부정 죽음의 기사,하이랜더 드루이드,Mining Warlock,어그로 악마사냥꾼,Showdown Paladin,컨트롤 사제,Unnamed: 12,사냥개 사냥꾼,Rainbow Mage
어그로 성기사,"어그로 성기사
Mirror matchup",64.86%,69.55%,67.31%,94.72%,70.89%,76.63%,61.21%,47.77%,42.96%,73.13%,82.15%,61.92%,50.69%
컨트롤 전사,35.13%,"컨트롤 전사
Mirror matchup",42.39%,45.96%,90.40%,66.66%,32.67%,39.14%,49.44%,40.90%,58.92%,68.40%,41.70%,51.93%
용 드루이드,30.44%,57.60%,"용 드루이드
Mirror matchup",63.69%,95.38%,78.41%,47.52%,61.36%,58.20%,25.59%,57.50%,76.42%,47.97%,54.23%
Plague Death Knight,32.68%,54.03%,36.30%,"Plague Death Knight
Mirror matchup",94.94%,64.32%,54.47%,39.14%,51.36%,36.28%,60.00%,69.41%,36.61%,45.73%
,5.18%,9.59%,4.48%,5.05%,"기타 마법사
Mirror matchup",26.07%,9.71%,6.34%,9.35%,3.10%,15.33%,21.25%,6.94%,5.02%
부정 죽음의 기사,29.10%,33.33%,21.58%,35.67%,73.92%,"부정 죽음의 기사
Mirror matchup",30.72%,29.09%,40.12%,16.07%,33.33%,52.07%,28.04%,27.90%
하이랜더 드루이드,23.36%,67.32%,52.47%,45.52%,90.10%,69.27%,"하이랜더 드루이드
Mirror matchup",52.54%,47.39%,36.91%,67.45%,79.23%,38.99%,59.50%
Mining Warlock,38.78%,60.85%,38.63%,60.85%,93.42%,70.90%,47.45%,"Mining Warlock
Mirror matchup",39.59%,50.00%,59.06%,70.52%,41.40%,43.44%
어그로 악마사냥꾼,52.22%,50.55%,41.79%,48.63%,90.64%,59.87%,52.60%,60.40%,"어그로 악마사냥꾼
Mirror matchup",35.87%,58.90%,75.53%,51.93%,60.83%
Showdown Paladin,57.03%,59.09%,74.40%,63.71%,96.89%,83.92%,63.08%,50.00%,64.12%,"Showdown Paladin
Mirror matchup",61.73%,91.41%,68.42%,61.90%
컨트롤 사제,26.86%,41.07%,42.50%,40.00%,84.66%,66.66%,32.54%,40.93%,41.09%,38.26%,"컨트롤 사제
Mirror matchup",58.95%,35.53%,30.76%
,17.84%,31.59%,23.57%,30.58%,78.74%,47.92%,20.76%,29.47%,24.46%,8.58%,41.04%,"기타 성기사
Mirror matchup",27.02%,21.90%
사냥개 사냥꾼,38.07%,58.29%,52.02%,63.38%,93.05%,71.95%,61.00%,58.59%,48.06%,31.57%,64.46%,72.97%,"사냥개 사냥꾼
Mirror matchup",65.90%
Rainbow Mage,49.30%,48.06%,45.76%,54.26%,94.97%,72.09%,40.49%,56.55%,39.16%,38.09%,69.23%,78.09%,34.09%,"Rainbow Mage
Mirror matchup"
