,Plague Death Knight,용 드루이드,어그로 성기사,컨트롤 전사,부정 죽음의 기사,하이랜더 드루이드,Mining Warlock,사냥개 사냥꾼,어그로 악마사냥꾼,Unnamed: 10,Showdown Paladin,언데드 사제,컨트롤 사제,Rainbow Mage
Plague Death Knight,"Plague Death Knight
Mirror matchup",41.44%,36.34%,56.46%,64.65%,61.30%,47.40%,38.08%,50.00%,63.00%,38.21%,48.35%,65.89%,50.49%
용 드루이드,58.55%,"용 드루이드
Mirror matchup",29.03%,59.14%,74.65%,50.05%,59.85%,51.81%,62.77%,68.02%,28.63%,67.36%,57.14%,56.41%
어그로 성기사,63.65%,70.96%,"어그로 성기사
Mirror matchup",71.64%,66.09%,74.26%,63.84%,64.56%,49.27%,72.56%,47.26%,63.65%,75.45%,55.60%
컨트롤 전사,43.53%,40.85%,28.35%,"컨트롤 전사
Mirror matchup",63.31%,35.43%,34.05%,44.00%,48.51%,63.00%,42.17%,58.15%,56.95%,46.70%
부정 죽음의 기사,35.34%,25.34%,33.90%,36.68%,"부정 죽음의 기사
Mirror matchup",32.96%,35.70%,30.17%,43.66%,45.53%,22.36%,36.88%,39.76%,33.33%
하이랜더 드루이드,38.69%,49.94%,25.73%,64.56%,67.03%,"하이랜더 드루이드
Mirror matchup",55.30%,48.14%,47.60%,61.98%,35.73%,58.96%,67.87%,59.86%
Mining Warlock,52.59%,40.14%,36.15%,65.94%,64.29%,44.69%,"Mining Warlock
Mirror matchup",45.47%,42.85%,72.30%,46.34%,53.28%,62.09%,50.18%
사냥개 사냥꾼,61.91%,48.18%,35.43%,56.00%,69.82%,51.85%,54.52%,"사냥개 사냥꾼
Mirror matchup",58.73%,68.65%,31.83%,59.53%,55.07%,51.30%
어그로 악마사냥꾼,50.00%,37.22%,50.72%,51.48%,56.33%,52.11%,57.14%,41.26%,"어그로 악마사냥꾼
Mirror matchup",66.66%,43.22%,55.76%,53.91%,53.08%
,36.83%,31.97%,27.43%,36.99%,54.46%,38.01%,27.69%,31.03%,33.33%,"기타 성기사
Mirror matchup",22.76%,33.57%,42.91%,28.31%
Showdown Paladin,61.78%,71.36%,52.73%,57.82%,77.63%,64.26%,53.65%,68.16%,56.77%,77.23%,"Showdown Paladin
Mirror matchup",62.03%,58.46%,58.67%
언데드 사제,51.64%,32.63%,36.34%,41.84%,63.11%,41.03%,46.35%,40.46%,44.23%,66.42%,37.96%,"언데드 사제
Mirror matchup",56.36%,45.76%
컨트롤 사제,34.10%,42.85%,24.54%,43.04%,60.23%,32.12%,37.90%,44.92%,46.08%,57.08%,41.53%,43.63%,"컨트롤 사제
Mirror matchup",32.00%
Rainbow Mage,49.50%,43.58%,44.39%,53.29%,66.39%,40.13%,49.81%,48.69%,46.91%,71.68%,41.32%,54.23%,68.00%,"Rainbow Mage
Mirror matchup"
