,Plague Death Knight,용 드루이드,어그로 성기사,컨트롤 전사,Mining Warlock,하이랜더 드루이드,부정 죽음의 기사,사냥개 사냥꾼,Showdown Paladin,Rainbow Mage,어그로 악마사냥꾼,Unnamed: 12,컨트롤 사제,혈기 죽음의 기사
Plague Death Knight,"Plague Death Knight
Mirror matchup",40.65%,37.11%,56.93%,46.41%,60.74%,63.51%,39.98%,39.25%,48.14%,50.34%,61.51%,65.69%,64.65%
용 드루이드,59.34%,"용 드루이드
Mirror matchup",30.89%,58.24%,56.85%,49.89%,76.40%,51.31%,30.45%,60.21%,61.13%,63.49%,54.78%,72.01%
어그로 성기사,62.88%,69.10%,"어그로 성기사
Mirror matchup",68.44%,62.75%,73.90%,65.12%,63.59%,44.39%,56.19%,49.54%,73.12%,72.27%,74.70%
컨트롤 전사,43.06%,41.75%,31.55%,"컨트롤 전사
Mirror matchup",35.88%,35.59%,64.31%,44.06%,42.62%,51.73%,48.79%,59.66%,60.37%,69.63%
Mining Warlock,53.58%,43.14%,37.24%,64.11%,"Mining Warlock
Mirror matchup",43.73%,65.35%,45.22%,44.73%,51.66%,43.65%,66.15%,62.51%,70.01%
하이랜더 드루이드,39.25%,50.10%,26.09%,64.40%,56.26%,"하이랜더 드루이드
Mirror matchup",67.91%,46.76%,35.10%,58.73%,46.97%,62.42%,67.60%,77.39%
부정 죽음의 기사,36.48%,23.59%,34.87%,35.68%,34.64%,32.08%,"부정 죽음의 기사
Mirror matchup",30.73%,22.88%,33.02%,44.60%,47.23%,36.89%,41.34%
사냥개 사냥꾼,60.01%,48.68%,36.40%,55.93%,54.77%,53.23%,69.26%,"사냥개 사냥꾼
Mirror matchup",34.15%,58.42%,55.01%,64.89%,60.00%,71.59%
Showdown Paladin,60.74%,69.54%,55.60%,57.37%,55.26%,64.89%,77.11%,65.84%,"Showdown Paladin
Mirror matchup",60.61%,59.29%,77.51%,59.60%,71.39%
Rainbow Mage,51.85%,39.78%,43.80%,48.26%,48.33%,41.17%,66.90%,41.57%,39.38%,"Rainbow Mage
Mirror matchup",45.65%,65.59%,68.97%,66.95%
어그로 악마사냥꾼,49.65%,38.86%,50.45%,51.20%,56.34%,52.93%,55.39%,44.98%,40.70%,54.34%,"어그로 악마사냥꾼
Mirror matchup",62.74%,55.84%,62.18%
,38.35%,36.50%,26.87%,40.23%,33.84%,37.50%,52.76%,35.00%,22.48%,34.40%,37.25%,"기타 성기사
Mirror matchup",43.87%,50.64%
컨트롤 사제,34.30%,45.21%,27.72%,39.62%,37.48%,32.39%,63.10%,40.00%,40.39%,31.02%,44.15%,56.12%,"컨트롤 사제
Mirror matchup",60.41%
혈기 죽음의 기사,35.34%,27.98%,25.29%,30.36%,29.98%,22.60%,58.65%,28.40%,28.60%,33.04%,37.81%,49.24%,39.58%,"혈기 죽음의 기사
Mirror matchup"
