,용 드루이드,Plague Death Knight,어그로 성기사,컨트롤 전사,Mining Warlock,하이랜더 드루이드,부정 죽음의 기사,사냥개 사냥꾼,Showdown Paladin,Rainbow Mage,어그로 악마사냥꾼,기타 성기사,컨트롤 사제,혈기 죽음의 기사
용 드루이드,"용 드루이드
Mirror matchup",59.40%,30.85%,58.25%,56.89%,49.85%,76.36%,51.49%,30.08%,60.08%,61.70%,63.64%,54.69%,72.32%
Plague Death Knight,40.59%,"Plague Death Knight
Mirror matchup",37.34%,56.84%,46.11%,60.84%,63.93%,40.16%,39.31%,48.22%,50.81%,61.67%,65.55%,65.54%
어그로 성기사,69.14%,62.65%,"어그로 성기사
Mirror matchup",68.33%,63.02%,73.47%,65.40%,63.64%,44.09%,56.07%,49.67%,72.43%,72.01%,74.90%
컨트롤 전사,41.74%,43.15%,31.66%,"컨트롤 전사
Mirror matchup",36.45%,35.35%,65.14%,44.21%,42.56%,51.64%,48.82%,59.07%,60.65%,71.15%
Mining Warlock,43.10%,53.88%,36.97%,63.54%,"Mining Warlock
Mirror matchup",43.98%,65.34%,44.84%,44.93%,51.97%,45.03%,66.38%,62.32%,70.69%
하이랜더 드루이드,50.14%,39.15%,26.52%,64.64%,56.01%,"하이랜더 드루이드
Mirror matchup",67.97%,46.37%,35.28%,58.78%,47.22%,62.08%,68.40%,77.58%
부정 죽음의 기사,23.63%,36.06%,34.59%,34.85%,34.65%,32.02%,"부정 죽음의 기사
Mirror matchup",30.46%,23.17%,33.72%,44.79%,47.75%,36.87%,41.12%
사냥개 사냥꾼,48.50%,59.83%,36.35%,55.78%,55.15%,53.62%,69.53%,"사냥개 사냥꾼
Mirror matchup",34.01%,58.95%,55.10%,64.97%,59.43%,72.16%
Showdown Paladin,69.91%,60.68%,55.90%,57.43%,55.06%,64.71%,76.82%,65.98%,"Showdown Paladin
Mirror matchup",60.51%,58.89%,78.01%,58.46%,73.01%
Rainbow Mage,39.91%,51.77%,43.92%,48.35%,48.02%,41.12%,66.19%,41.04%,39.48%,"Rainbow Mage
Mirror matchup",45.75%,65.15%,69.16%,66.95%
어그로 악마사냥꾼,38.29%,49.18%,50.32%,51.17%,54.96%,52.68%,55.20%,44.89%,41.10%,54.24%,"어그로 악마사냥꾼
Mirror matchup",63.23%,54.72%,61.78%
기타 성기사,36.35%,38.18%,27.56%,40.80%,33.61%,37.82%,52.24%,34.92%,21.98%,34.84%,36.76%,"기타 성기사
Mirror matchup",44.96%,51.62%
컨트롤 사제,45.30%,34.44%,27.98%,39.34%,37.67%,31.59%,63.12%,40.56%,41.53%,30.83%,45.27%,55.03%,"컨트롤 사제
Mirror matchup",60.94%
혈기 죽음의 기사,27.67%,34.45%,25.09%,28.84%,29.30%,22.41%,58.87%,27.83%,26.98%,33.04%,38.21%,48.24%,39.05%,"혈기 죽음의 기사
Mirror matchup"
